phase,role,primary_hypothesis,evidence_scope,key_result,decision,current_status
FOUNDATION,Data engineering,"Full-market daily screening plus watchlist-level intraday collection can support local research","Live collection architecture and canonical data contracts","Established slow/fast data lanes, ACTIVE/OBSERVE pools, CB/STOCK alignment and PIT structure fields","Retain infrastructure; it is not Alpha evidence",RETAIN
V0.1,Continuous factor ranking,"Residual, premium, momentum, flow and volatility can form a continuous ranking alpha","Early bar-level panel","Pooled and cross-sectional IC were near zero","Retire signal_score as a trading rank; retain as research field",RETIRED
V0.2,Trigger alert system,"Sparse conditional events may work even when continuous IC is near zero","2026-06-30; 546 rows; one ACTION","The only ACTION had negative 1/2-bar returns and no complete 30/60m label","Keep trigger framing; do not tune from one event",ARCHIVED
V0.3,ARMED and episode research,"Earlier ARMED and detailed WATCH states may improve manual executability","27 days; 15660 rows; 165 bar-level ACTION; 523 ARMED","Theoretical ACTION mean was positive, but sample and execution contract were weak","Continue only with longer history and executable-price evaluation",SUPERSEDED
V0.4,ML shadow meta-filter,"Event-level ML can filter weak rule signals without replacing rules","464 episodes across 27 days","Main AUC/PR-AUC and calibration were weak; all major tasks had small-sample warnings","Keep shadow-only; do not gate production ACTION",ARCHIVED
V0.5,Research contract integration,"Episode, visibility and execution timestamps can remove evaluation ambiguity","No independently frozen strategy/report","Standardized event units and theoretical/live/manual return layers","Treat as integration phase, not an Alpha version",INTEGRATED
V0.6,Historical training-data foundation,"A canonical PIT panel can support chronological validation","About 200 target dates; 180-day common slice used later","Enabled walk-forward research but exposed future-selected-universe and microstructure gaps","Retain as research infrastructure",RETAIN
V0.7,Hybrid horizon and valuation,"Bond type, friction, qIV/MC and LSMC can select intraday versus daily holding","Hybrid backtest with cost stress","Intraday -4.327%; daily LSMC -9.722%; hybrid -8.171% under the stated 10bps/5x fee stress","Downgrade qIV/MC to diagnostics and LSMC away from entry",REJECTED
V0.7.1,Diagnostic reset and distributed lag,"Stock shocks may leave an actionable CB response in lag1-lag3","180 days; 170 bonds; four 45-day windows; 138 repair events","Gross mean 0.0020%; realistic net -0.0999%; lag0 dominated and 2-bar delay turned gross negative","No tradable 5-minute linkage Alpha; daily RV remains only a biased low-priority hypothesis",REJECTED
V0.8,Nonlinear response surface and hidden state,"Nonlinear interactions and causal HMM states may add stable forward-outcome information","180 days; 1384176 rows; 170 bonds; chronological OOF","Nonlinear surface won 0/3 folds; state increment won 2/6 comparisons; 10bps net about -9.37bps","Stage gate C_NO_STABLE_INCREMENT; stop increasing model complexity",REJECTED
PAUSE,Research decision,"Additional factors cannot overcome the current information-set ceiling","All evidence above, weighted toward E3-E4","No stable executable edge under five-minute data without intraday turnover or market microstructure","Preserve assets and resume only after material data upgrade",PAUSED
